"dept","siren","raison_sociale","nature_juridique","mode_financ","nb_membres","total_pop_tot","total_pop_mun","dep_com","insee","siren_membre","nom_membre","ptot_2023","pmun_2023","path"
"31",200066819,"CC du Volvestre","CC","FA",32,31175,30567,"31","31365",213103658,"Montbrun-Bocage",515,506,"m 1.22415,43.493609 0.00222,-0.0098 -0.00423,-0.0052 0.00621,-0.0089 0.010382,-0.0064 0.017817,0.002 0.018491,-4.42e-4 0.00283,0.0064 0.026013,0.0194 -0.012552,-8.45e-4 -0.00842,0.01044 -0.00282,0.0027 -0.018191,0.0023 0.00112,0.01634 -0.01634,0.0036 -0.021942,0.0022 0,0 -0.013095,-0.02098 0.00273,-0.0023 -0.00245,-0.0059 z"
"31",200066819,"CC du Volvestre","CC","FA",32,31175,30567,"31","31071",213100712,"Bois-de-la-Pierre",456,447,"m 1.1480371,43.259241 0.00669,0.0042 0.013109,-3.4e-4 0.016588,0.0021 0.00851,0.0066 -0.019709,0.01452 0,0 -0.02803,-0.01115 -0.013543,9.17e-4 0.00409,-0.0086 z"
"31",200066819,"CC du Volvestre","CC","FA",32,31175,30567,"31","31219",213102197,"Gensac-sur-Garonne",452,448,"m 1.1177104,43.404724 0.00397,-0.0092 0.01257,-0.0031 9.688e-4,-0.0062 0.00563,-0.0044 0.015538,-0.0024 0.013447,0.0076 -5.051e-4,0.0089 -0.010046,0.0075 2.366e-4,0.0066 0,0 -0.01805,1.56e-4 -0.012012,0.0035 -0.020217,-0.0071 z"
"31",200066819,"CC du Volvestre","CC","FA",32,31175,30567,"31","31280",213102809,"Latrape",403,395,"m 1.2669551,43.372955 -0.011009,-0.0096 0.00697,-0.0041 6.652e-4,-0.0065 -4.509e-4,-0.0117 0.00356,-0.0019 0.00687,0.004 0.00822,-0.0023 0.013505,0.0074 0.03637,0.0043 -5.287e-4,0.0034 -0.01153,0.0061 -0.00283,0.0065 0.00181,0.0137 5.294e-4,0.0017 0,0 -0.021011,0.0068 -0.011325,-0.01056 -0.00882,-0.0011 z"
"31",200066819,"CC du Volvestre","CC","FA",32,31175,30567,"31","31111",213101116,"Castagnac",297,293,"m 1.3167659,43.368504 0.00283,-0.0065 0.018285,0.0028 0.011597,0.0053 0.00428,-0.0015 0.012652,0.0026 0.00782,-0.0029 0.00185,0.0062 -0.00231,0.0096 -0.025416,0.007 0.00183,0.0031 0,0 -0.00912,-0.0012 -0.00558,-0.0054 -0.016891,-0.0054 z"
"31",200066819,"CC du Volvestre","CC","FA",32,31175,30567,"31","31258",213102585,"Lacaugne",248,242,"m 1.2611548,43.327511 0.00167,-0.0031 0.009,-8.1e-4 0.0068,-0.0044 0.013194,4.66e-4 0.00188,0.0051 0.00871,0.01548 -0.00713,0.008 0,0 -0.013505,-0.0074 -0.00147,-0.003 -0.012714,-0.0022 z"
"31",200066819,"CC du Volvestre","CC","FA",32,31175,30567,"31","31474",213104748,"Saint-Christaud",242,237,"m 1.1294545,43.413742 0.012012,-0.0035 0.01805,-1.56e-4 0.00723,0.0028 -0.00679,0.01037 -0.016729,1.97e-4 -0.00243,0.01171 -0.017782,-0.0028 -0.016679,0.0047 0,0 -0.00282,-0.01189 -3.928e-4,-0.01607 0.00611,-0.0023 z"
"31",200066819,"CC du Volvestre","CC","FA",32,31175,30567,"31","31225",213102254,"Goutevernisse",188,185,"m 1.1698321,43.387029 0.015746,-4.82e-4 0.009,0.0064 -0.011507,0.0065 -0.00687,0.01269 -0.00945,6.73e-4 0,0 -0.00723,-0.0028 -2.366e-4,-0.0066 0.010046,-0.0075 z"
"31",200066819,"CC du Volvestre","CC","FA",32,31175,30567,"31","31379",213103799,"Montgazin",171,169,"m 1.2937012,43.324815 -0.00188,-0.0051 -2.937e-4,-0.02736 0.014324,9.53e-4 0.019283,0.01049 0,0 -0.0073,0.01201 -0.00918,6.66e-4 -0.00593,0.0092 z"
"31",200066819,"CC du Volvestre","CC","FA",32,31175,30567,"31","31326",213103260,"Massabrac",98,98,"m 1.3483431,43.391148 0.025416,-0.007 0.00231,-0.0096 0.00736,0.0074 -0.0023,0.0089 0,0 -0.00976,0.01167 -0.013535,-0.0023 -0.00766,-0.006 z"
