dept;siren;raison_sociale;nature_juridique;mode_financ;nb_membres;total_pop_tot;total_pop_mun;dep_com;insee;siren_membre;nom_membre;ptot_2023;pmun_2023;;;
01;200042497;CC Dombes Saône Vallée;CC;FPU;19;40845;39725;01;01318;210103180;Rancé;753;735;;;
01;200042935;CA Haut - Bugey Agglomération;CA;FPU;42;65008;63216;01;01283;210102836;Oyonnax;22724;22271;;;
01;200042935;CA Haut - Bugey Agglomération;CA;FPU;42;65008;63216;01;01185;200086122;Plateau d'Hauteville;4981;4824;;;
01;200042935;CA Haut - Bugey Agglomération;CA;FPU;42;65008;63216;01;01031;210100319;Bellignat;3905;3671;;;
01;200042935;CA Haut - Bugey Agglomération;CA;FPU;42;65008;63216;01;01269;210102695;Nantua;3587;3453;;;
01;200042935;CA Haut - Bugey Agglomération;CA;FPU;42;65008;63216;01;01265;210102653;Montréal-la-Cluse;3580;3499;;;
01;200042935;CA Haut - Bugey Agglomération;CA;FPU;42;65008;63216;01;01014;210100145;Arbent;3427;3336;;;
01;200042935;CA Haut - Bugey Agglomération;CA;FPU;42;65008;63216;01;01192;210101929;Izernore;2327;2272;;;
01;200042935;CA Haut - Bugey Agglomération;CA;FPU;42;65008;63216;01;01148;210101481;Dortan;1939;1892;;;
01;200042935;CA Haut - Bugey Agglomération;CA;FPU;42;65008;63216;01;01237;210102372;Martignat;1740;1674;;;
01;200042935;CA Haut - Bugey Agglomération;CA;FPU;42;65008;63216;01;01181;210101812;Groissiat;1291;1241;;;
01;200042935;CA Haut - Bugey Agglomération;CA;FPU;42;65008;63216;01;01170;210101705;Béard-Géovreissiat;1071;1044;;;
01;200042935;CA Haut - Bugey Agglomération;CA;FPU;42;65008;63216;01;01373;210103735;Saint-Martin-du-Frêne;1038;1009;;;
01;200042935;CA Haut - Bugey Agglomération;CA;FPU;42;65008;63216;01;01267;210102679;Nurieux-Volognat;1035;1008;;;
01;200042935;CA Haut - Bugey Agglomération;CA;FPU;42;65008;63216;01;01171;210101713;Géovreisset;871;830;;;
01;200042935;CA Haut - Bugey Agglomération;CA;FPU;42;65008;63216;01;01307;210103073;Port;861;840;;;
01;200042935;CA Haut - Bugey Agglomération;CA;FPU;42;65008;63216;01;01152;210101523;Échallon;781;756;;;
01;200042935;CA Haut - Bugey Agglomération;CA;FPU;42;65008;63216;01;01204;200053395;Le Poizat-Lalleyriat;762;746;;;
01;200042935;CA Haut - Bugey Agglomération;CA;FPU;42;65008;63216;01;01441;210104410;Vieu-d'Izenave;761;743;;;
01;200042935;CA Haut - Bugey Agglomération;CA;FPU;42;65008;63216;01;01228;210102281;Maillat;682;668;;;
01;200042935;CA Haut - Bugey Agglomération;CA;FPU;42;65008;63216;01;01392;210103925;Samognat;682;654;;;
01;200042935;CA Haut - Bugey Agglomération;CA;FPU;42;65008;63216;01;01080;200056695;Champdor-Corcelles;652;636;;;
01;200042935;CA Haut - Bugey Agglomération;CA;FPU;42;65008;63216;01;01240;210102406;Matafelon-Granges;646;628;;;
01;200042935;CA Haut - Bugey Agglomération;CA;FPU;42;65008;63216;01;01274;210102745;Les Neyrolles;645;632;;;
01;200042935;CA Haut - Bugey Agglomération;CA;FPU;42;65008;63216;01;01063;210100632;Brion;577;561;;;
01;200042935;CA Haut - Bugey Agglomération;CA;FPU;42;65008;63216;01;01060;210100608;Brénod;505;486;;;
01;200042935;CA Haut - Bugey Agglomération;CA;FPU;42;65008;63216;01;01112;210101127;Condamine;473;467;;;
01;200042935;CA Haut - Bugey Agglomération;CA;FPU;42;65008;63216;01;01011;210100111;Apremont;379;368;;;
01;200042935;CA Haut - Bugey Agglomération;CA;FPU;42;65008;63216;01;01012;210100129;Aranc;330;327;;;
01;200042935;CA Haut - Bugey Agglomération;CA;FPU;42;65008;63216;01;01035;210100350;Belleydoux;316;308;;;
01;200042935;CA Haut - Bugey Agglomération;CA;FPU;42;65008;63216;01;01410;210104105;Sonthonnax-la-Montagne;306;299;;;
01;200042935;CA Haut - Bugey Agglomération;CA;FPU;42;65008;63216;01;01087;210100871;Charix;289;279;;;
01;200042935;CA Haut - Bugey Agglomération;CA;FPU;42;65008;63216;01;01206;210102067;Lantenay;280;274;;;
01;200042935;CA Haut - Bugey Agglomération;CA;FPU;42;65008;63216;01;01067;210100673;Ceignes;271;259;;;
01;200042935;CA Haut - Bugey Agglomération;CA;FPU;42;65008;63216;01;01282;210102828;Outriaz;265;258;;;
01;200042935;CA Haut - Bugey Agglomération;CA;FPU;42;65008;63216;01;01214;210102141;Leyssard;166;161;;;
01;200042935;CA Haut - Bugey Agglomération;CA;FPU;42;65008;63216;01;01101;210101010;Chevillard;159;152;;;
01;200042935;CA Haut - Bugey Agglomération;CA;FPU;42;65008;63216;01;01191;210101911;Izenave;156;152;;;
01;200042935;CA Haut - Bugey Agglomération;CA;FPU;42;65008;63216;01;01293;210102935;Peyriat;148;145;;;
01;200042935;CA Haut - Bugey Agglomération;CA;FPU;42;65008;63216;01;01155;210101556;Évosges;147;142;;;
